Force,Officers,POP,Percentage,emergency,firearms,major_incident,public_order,serious_crime,custody,emergency_POP,firearms_POP,major_incident_POP,public_order_POP,serious_crime_POP,custody_POP,emergency_MIN,firearms_MIN,major_incident_MIN,public_order_MIN,serious_crime_MIN,custody_MIN,Alliance,reserved_psus
Avon and Somerset,2684,536,19.97,448,448,447,447,447,447,18,18,18,447,18,17,80,80,80,0,80,80,SOUTH WEST,0
Bedfordshire,4315,482,11.17,720,719,719,482,719,956,0,0,0,482,0,0,80,80,80,0,80,80,EASTERN,0
Cheshire,2010,235,11.69,335,335,335,235,335,435,0,0,0,235,0,0,80,80,80,0,80,80,NORTH WEST,0
City of London,688,102,14.82,115,115,115,102,114,127,0,0,0,102,0,0,80,80,80,0,80,80,LONDON,4
Cleveland,1299,157,12.09,217,217,217,157,216,275,0,0,0,157,0,0,80,80,80,0,80,80,NORTH EAST,0
Cumbria,1102,144,13.07,184,184,184,144,183,223,0,0,0,144,0,0,80,80,80,0,80,80,NORTH WEST,0
Derbyshire,1719,296,17.22,287,287,287,286,286,286,2,2,2,286,2,2,80,80,80,0,80,80,EAST MIDLANDS,0
Devon and Cornwall,2913,522,17.92,486,486,486,485,485,485,8,8,7,485,7,7,80,80,80,0,80,80,SOUTH WEST,0
Dorset,1220,193,15.82,204,204,203,193,203,213,0,0,0,193,0,0,80,80,80,0,80,80,SOUTH WEST,0
Durham,1125,136,12.08,188,188,188,136,187,238,0,0,0,136,0,0,80,80,80,0,80,80,NORTH EAST,0
Dyfed-Powys,1171,111,9.48,196,195,195,111,195,279,0,0,0,111,0,0,80,80,80,0,80,80,WALES,0
Essex,2806,313,11.15,468,468,468,313,467,622,0,0,0,313,0,0,80,80,80,0,80,80,EASTERN,0
Gloucestershire,1067,142,13.31,178,178,178,142,178,213,0,0,0,142,0,0,80,80,80,0,80,80,SOUTH WEST,0
Greater Manchester,6239,609,9.76,1040,1040,1040,609,1040,1470,0,0,0,609,0,0,80,80,80,0,80,80,NORTH WEST,0
Gwent,1162,143,12.3,194,194,194,143,193,244,0,0,0,143,0,0,80,80,80,0,80,80,WALES,0
Hampshire,2898,430,14.84,483,483,483,430,483,536,0,0,0,430,0,0,80,80,80,0,80,80,SOUTH EAST,0
Humberside,1542,204,12.23,257,257,257,204,257,310,0,0,0,204,0,0,80,80,80,0,80,80,NORTH EAST,0
Kent,3193,386,12.09,533,532,532,386,532,678,0,0,0,386,0,0,80,80,80,0,80,80,SOUTH EAST,0
Lancashire,2787,583,20.92,465,465,465,464,464,464,24,24,24,464,24,23,80,80,80,0,80,80,NORTH WEST,0
Leicestershire,1794,284,15.83,299,299,299,284,299,314,0,0,0,284,0,0,80,80,80,0,80,80,EAST MIDLANDS,0
Lincolnshire,1062,118,11.11,177,177,177,118,177,236,0,0,0,118,0,0,80,80,80,0,80,80,EAST MIDLANDS,0
Merseyside,3561,917,25.75,594,594,594,593,593,593,65,65,65,593,65,64,80,80,80,0,80,80,NORTH WEST,0
Metropolitan,31782,6281,19.76,5297,5297,5297,5297,5297,5297,197,197,197,5297,197,196,80,80,80,0,80,80,LONDON,75
Norfolk,1505,127,8.44,251,251,251,127,251,374,0,0,0,127,0,0,80,80,80,0,80,80,EASTERN,0
North Wales,1442,258,17.89,241,241,240,240,240,240,4,4,4,240,3,3,80,80,80,0,80,80,NORTH WEST,0
North Yorkshire,1346,200,14.86,225,225,224,200,224,248,0,0,0,200,0,0,80,80,80,0,80,80,NORTH EAST,0
Northamptonshire,1209,137,11.33,202,202,202,137,201,265,0,0,0,137,0,0,80,80,80,0,80,80,EAST MIDLANDS,0
Northumbria,3263,867,26.57,544,544,544,544,544,543,65,65,65,544,64,64,80,80,80,0,80,80,NORTH EAST,0
Nottinghamshire,1893,298,15.74,316,316,316,298,315,332,0,0,0,298,0,0,80,80,80,0,80,80,EAST MIDLANDS,0
South Wales,2850,387,13.58,475,475,475,387,475,563,0,0,0,387,0,0,80,80,80,0,80,80,WALES,0
South Yorkshire,2460,570,23.17,410,410,410,410,410,410,32,32,32,410,32,32,80,80,80,0,80,80,NORTH EAST,0
Staffordshire,1611,534,33.14,269,269,269,268,268,268,54,53,53,268,53,53,80,80,80,0,80,80,WEST MIDLANDS,0
Suffolk,1119,152,13.58,187,187,187,152,186,220,0,0,0,152,0,0,80,80,80,0,80,80,EASTERN,0
Surrey,1896,148,7.8,316,316,316,148,316,484,0,0,0,148,0,0,80,80,80,0,80,80,SOUTH EAST,0
Sussex,2569,369,14.36,429,428,428,369,428,487,0,0,0,369,0,0,80,80,80,0,80,80,SOUTH EAST,0
Thames Valley,4200,642,15.29,700,700,700,642,700,758,0,0,0,642,0,0,80,80,80,0,80,80,SOUTH EAST,0
Warwickshire,2946,447,15.17,491,491,491,447,491,535,0,0,0,447,0,0,80,80,80,0,80,80,WEST MIDLANDS,0
West Midlands,6880,1683,24.46,1147,1147,1147,1147,1146,1146,108,107,107,1147,107,107,80,80,80,0,80,80,WEST MIDLANDS,0
West Yorkshire,4556,1504,33.01,760,760,759,759,759,759,149,149,149,759,149,149,80,80,80,0,80,80,NORTH EAST,0
Wiltshire,976,109,11.17,163,163,163,109,162,216,0,0,0,109,0,0,80,80,80,0,80,80,SOUTH WEST,0
