Force,Officers,POP,Percentage,emergency,firearms,major_incident,public_order,serious_crime,custody,emergency_POP,firearms_POP,major_incident_POP,public_order_POP,serious_crime_POP,custody_POP,emergency_MIN,firearms_MIN,major_incident_MIN,public_order_MIN,serious_crime_MIN,custody_MIN,Alliance,reserved_psus
Avon and Somerset,2684,536,19.97,0,0,0,225,0,0,0,0,0,225,0,0,0,0,0,0,0,0,SOUTH WEST,0
Bedfordshire,4315,482,11.17,0,0,0,275,0,0,0,0,0,275,0,0,0,0,0,0,0,0,EASTERN,0
Cheshire,2010,235,11.69,0,0,0,150,0,0,0,0,0,150,0,0,0,0,0,0,0,0,NORTH WEST,0
City of London,688,102,14.82,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,LONDON,0
Cleveland,1299,157,12.09,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,NORTH EAST,0
Cumbria,1102,144,13.07,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,NORTH WEST,0
Derbyshire,1719,296,17.22,0,0,0,125,0,0,0,0,0,125,0,0,0,0,0,0,0,0,EAST MIDLANDS,0
Devon and Cornwall,2913,522,17.92,0,0,0,225,0,0,0,0,0,225,0,0,0,0,0,0,0,0,SOUTH WEST,0
Dorset,1220,193,15.82,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,SOUTH WEST,0
Durham,1125,136,12.08,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,NORTH EAST,0
Dyfed-Powys,1171,111,9.48,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,WALES,0
Essex,2806,313,11.15,0,0,0,225,0,0,0,0,0,225,0,0,0,0,0,0,0,0,EASTERN,0
Gloucestershire,1067,142,13.31,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,SOUTH WEST,0
Greater Manchester,6239,609,9.76,0,0,0,525,0,0,0,0,0,525,0,0,0,0,0,0,0,0,NORTH WEST,0
Gwent,1162,143,12.3,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,WALES,0
Hampshire,2898,430,14.84,0,0,0,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,SOUTH EAST,0
Humberside,1542,204,12.23,0,0,0,125,0,0,0,0,0,125,0,0,0,0,0,0,0,0,NORTH EAST,0
Kent,3193,386,12.09,0,0,0,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,SOUTH EAST,0
Lancashire,2787,583,20.92,0,0,0,225,0,0,0,0,0,225,0,0,0,0,0,0,0,0,NORTH WEST,0
Leicestershire,1794,284,15.83,0,0,0,125,0,0,0,0,0,125,0,0,0,0,0,0,0,0,EAST MIDLANDS,0
Lincolnshire,1062,118,11.11,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,EAST MIDLANDS,0
Merseyside,3561,917,25.75,0,0,0,300,0,0,0,0,0,300,0,0,0,0,0,0,0,0,NORTH WEST,0
Metropolitan,31782,6281,19.76,0,0,0,2400,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,LONDON,75
Norfolk,1505,127,8.44,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,EASTERN,0
North Wales,1442,258,17.89,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,NORTH WEST,0
North Yorkshire,1346,200,14.86,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,NORTH EAST,0
Northamptonshire,1209,137,11.33,0,0,0,150,0,0,0,0,0,150,0,0,0,0,0,0,0,0,EAST MIDLANDS,0
Northumbria,3263,867,26.57,0,0,0,250,0,0,0,0,0,250,0,0,0,0,0,0,0,0,NORTH EAST,0
Nottinghamshire,1893,298,15.74,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,EAST MIDLANDS,0
South Wales,2850,387,13.58,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,WALES,0
South Yorkshire,2460,570,23.17,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,NORTH EAST,0
Staffordshire,1611,534,33.14,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,WEST MIDLANDS,0
Suffolk,1119,152,13.58,0,0,0,75,0,0,0,0,0,75,0,0,0,0,0,0,0,0,EASTERN,0
Surrey,1896,148,7.8,0,0,0,150,0,0,0,0,0,150,0,0,0,0,0,0,0,0,SOUTH EAST,0
Sussex,2569,369,14.36,0,0,0,225,0,0,0,0,0,225,0,0,0,0,0,0,0,0,SOUTH EAST,0
Thames Valley,4200,642,15.29,0,0,0,300,0,0,0,0,0,300,0,0,0,0,0,0,0,0,SOUTH EAST,0
Warwickshire,2821,322,15.17,0,0,0,50,0,0,0,0,0,175,0,0,0,0,0,0,0,0,WEST MIDLANDS,0
West Mercia,125,125,100,0,0,0,125,0,0,0,0,0,125,0,0,0,0,0,0,0,0,WEST MIDLANDS,0
West Midlands,6880,1683,24.46,0,0,0,525,0,0,0,0,0,525,0,0,0,0,0,0,0,0,WEST MIDLANDS,0
West Yorkshire,4556,1504,33.01,0,0,0,375,0,0,0,0,0,375,0,0,0,0,0,0,0,0,NORTH EAST,0
Wiltshire,976,109,11.17,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,SOUTH WEST,0
