name,Metropolitan Police,Cumbria,Lancashire,Merseyside,Greater Manchester,Cheshire,Northumbria,Durham,North Yorkshire,West Yorkshire,South Yorkshire,Humberside,Cleveland,W Midlands W Mercia,Staffordshire,Warwickshire,Derbyshire,Nottinghamshire,Lincolnshire,Leicestershire,Northamptonshire,Norfolk,Suffolk,Beds Cambs Herts,Essex,Thames Valley,Hampshire,Surrey,Kent,Sussex,City of London,Devon and Cornwall,Avon and Somerset,Gloucestershire,Wiltshire,Dorset,North Wales,Gwent,South Wales,Dyfed-Powys
Metropolitan Police,0.0,465.121,368.653,342.039,341.557,294.739,489.694,415.249,349.458,321.189,272.786,306.866,400.736,235.451,228.705,162.062,241.941,231.323,218.854,183.577,122.808,178.29,152.658,88.96,78.602,84.718,116.664,49.754,76.756,72.173,2.563,341.961,226.233,163.139,152.506,194.092,362.24,236.003,285.519,354.913
Cumbria,464.772,0.0,108.232,166.938,155.514,186.818,117.515,93.59,130.842,158.187,218.011,221.732,136.006,301.105,237.118,315.957,234.219,257.269,310.124,315.48,361.101,406.678,469.401,390.277,465.818,402.687,488.19,488.479,541.145,545.254,466.0,587.007,456.928,362.614,437.991,508.404,281.516,416.499,436.993,377.686
Lancashire,367.361,107.883,0.0,69.527,58.103,89.406,212.572,147.027,112.674,104.441,134.834,191.798,163.952,203.694,139.707,218.545,136.808,182.4,240.227,217.528,263.69,336.782,403.672,324.548,400.09,305.276,390.778,391.068,450.378,447.843,368.589,489.596,359.517,265.203,340.58,410.992,184.104,319.088,339.582,280.275
Merseyside,342.108,166.904,70.435,0.0,57.109,48.802,271.593,212.208,179.602,103.448,121.689,190.805,230.88,177.701,114.454,193.292,116.168,160.043,227.082,192.274,238.436,323.637,378.418,299.295,374.836,280.022,365.525,365.814,425.124,422.589,343.335,464.342,334.264,239.949,315.326,385.739,112.107,255.952,288.083,228.775
Greater Manchester,339.351,155.363,58.894,57.428,0.0,61.397,270.017,195.572,129.781,53.627,84.019,140.984,181.059,175.684,111.697,190.536,87.604,131.586,189.413,189.518,235.68,285.967,348.689,269.566,345.107,277.266,362.769,363.058,422.368,419.833,340.579,461.586,331.508,237.193,312.57,382.983,156.095,291.078,311.572,252.265
Cheshire,294.297,185.775,89.306,48.392,62.211,0.0,290.464,231.079,184.703,108.549,114.209,195.906,235.981,134.119,66.643,145.482,79.587,145.633,205.617,144.464,190.626,290.381,330.608,251.485,327.026,232.212,317.715,318.004,377.314,374.779,295.525,416.532,286.453,192.139,267.516,337.929,110.177,212.37,262.405,205.571
Northumbria,487.85,126.99,221.87,280.576,270.216,300.456,0.0,82.304,147.484,219.464,234.652,228.616,107.726,414.743,346.794,387.192,293.751,273.911,326.766,332.122,395.249,423.32,486.042,406.919,482.46,457.395,542.898,528.619,557.787,585.394,504.525,692.195,562.117,467.802,520.248,608.811,395.154,521.687,590.065,491.324
Durham,413.259,93.556,147.028,211.39,195.625,231.27,82.354,0.0,72.893,144.873,160.062,163.783,55.188,349.296,272.204,312.601,219.16,199.32,252.175,257.531,320.658,348.729,411.452,332.328,407.869,382.804,468.307,454.028,483.196,510.803,429.935,617.604,487.526,393.211,445.657,534.22,325.968,447.096,515.474,422.138
North Yorkshire,347.636,130.46,112.665,180.545,130.002,184.513,147.078,72.632,0.0,79.25,94.438,91.967,55.05,283.673,206.58,246.978,153.537,133.697,186.552,191.908,255.035,283.106,345.828,266.705,342.246,317.181,402.684,388.405,417.573,445.18,364.311,551.981,421.903,327.588,380.034,468.597,279.211,381.473,449.851,375.382
West Yorkshire,320.289,157.949,105.048,103.582,53.039,107.55,218.589,144.143,78.352,0.0,56.881,89.555,129.63,221.838,157.851,208.468,104.195,104.185,157.04,162.396,216.525,253.594,316.317,237.193,312.734,278.671,364.174,349.895,388.061,406.67,321.516,507.74,377.661,283.347,341.524,430.087,202.248,337.232,357.726,298.419
