name,Metropolitan Police,Cumbria,Lancashire,Merseyside,Greater Manchester,Cheshire,Northumbria,Durham,North Yorkshire,West Yorkshire,South Yorkshire,Humberside,Cleveland,W Midlands W Mercia,Staffordshire,Warwickshire,Derbyshire,Nottinghamshire,Lincolnshire,Leicestershire,Northamptonshire,Norfolk,Suffolk,Beds Cambs Herts,Essex,Thames Valley,Hampshire,Surrey,Kent,Sussex,City of London,Devon and Cornwall,Avon and Somerset,Gloucestershire,Wiltshire,Dorset,North Wales,Gwent,South Wales,Dyfed-Powys
Metropolitan Police,0.0,5.120277777777778,4.141944444444444,3.8472222222222223,3.8369444444444443,3.4430555555555555,5.496666666666667,4.7275,3.92,3.585277777777778,3.221111111111111,3.716388888888889,4.461111111111111,3.008611111111111,2.888333333333333,2.0644444444444443,3.0141666666666667,2.8108333333333335,2.867777777777778,2.3955555555555557,1.8602777777777777,2.258888888888889,1.951111111111111,1.583611111111111,1.2955555555555556,1.2758333333333334,1.568888888888889,1.1869444444444444,1.3147222222222221,1.3944444444444444,0.19305555555555556,3.8880555555555554,2.938888888888889,2.207777777777778,2.046111111111111,2.6752777777777776,4.216388888888889,2.8244444444444445,3.6597222222222223,4.5841666666666665
Cumbria,5.110277777777778,0.0,1.385,1.8597222222222223,1.7566666666666666,2.0411111111111113,1.65,1.2191666666666667,1.4152777777777779,2.0325,2.316666666666667,2.4994444444444444,1.5286111111111111,3.491111111111111,2.588611111111111,3.348611111111111,2.7327777777777778,2.6305555555555555,3.149722222222222,3.3105555555555557,3.714722222222222,4.160277777777778,4.538888888888889,3.8580555555555556,4.523333333333333,4.0377777777777775,4.783055555555555,4.961944444444445,5.363888888888889,5.387777777777778,5.100555555555555,5.839166666666666,4.6819444444444445,3.7019444444444445,4.541944444444445,5.519444444444445,3.1286111111111112,4.287222222222222,5.410555555555556,4.485555555555556
Lancashire,4.115833333333334,1.3825,0.0,0.8652777777777778,0.7622222222222222,1.0466666666666666,2.6061111111111113,1.8927777777777777,1.3430555555555554,1.1611111111111112,1.5997222222222223,2.08,1.8841666666666668,2.4966666666666666,1.5941666666666667,2.3541666666666665,1.7383333333333333,2.1219444444444444,2.7058333333333335,2.4716666666666667,2.7205555555555554,3.716388888888889,3.9347222222222222,3.2536111111111112,3.9191666666666665,3.0433333333333334,3.788611111111111,3.9675,4.563055555555556,4.3933333333333335,4.106111111111111,4.844722222222222,3.6875,2.7075,3.5475,4.525,2.1344444444444446,3.292777777777778,4.416111111111111,3.491111111111111
Merseyside,3.8366666666666664,1.8672222222222221,0.8891666666666667,0.0,0.7116666666666667,0.6977777777777778,3.0908333333333333,2.3738888888888887,1.7961111111111112,1.1105555555555555,1.5705555555555555,2.0294444444444446,2.337222222222222,2.060277777777778,1.315,2.075,1.5441666666666667,2.1166666666666667,2.6769444444444446,2.1925,2.441388888888889,3.687222222222222,3.6555555555555554,2.9744444444444444,3.64,2.7641666666666667,3.5094444444444446,3.6883333333333335,4.283888888888889,4.114166666666667,3.8269444444444445,4.565555555555555,3.408333333333333,2.4283333333333332,3.2683333333333335,4.245833333333334,1.6694444444444445,3.093888888888889,3.938888888888889,3.013888888888889
Greater Manchester,3.8047222222222223,1.7533333333333334,0.7752777777777777,0.7144444444444444,0.0,0.7355555555555555,2.8980555555555556,2.128888888888889,1.321388888888889,0.6358333333333334,1.0744444444444445,1.5547222222222221,1.8625,2.1855555555555557,1.2830555555555556,2.0430555555555556,1.2666666666666666,1.5969444444444445,2.1805555555555554,2.1605555555555553,2.4094444444444445,3.1911111111111112,3.569722222222222,2.888888888888889,3.5544444444444445,2.732222222222222,3.4775,3.656388888888889,4.251944444444445,4.082222222222223,3.795,4.533888888888889,3.376388888888889,2.3963888888888887,3.236388888888889,4.213888888888889,1.8233333333333333,2.9816666666666665,4.105,3.18
Cheshire,3.4338888888888888,2.031111111111111,1.0530555555555556,0.6969444444444445,0.7480555555555556,0.0,3.254722222222222,2.537777777777778,1.8322222222222222,1.1469444444444445,1.3391666666666666,2.0658333333333334,2.373611111111111,1.67,0.9125,1.6725,1.1713888888888888,1.708611111111111,2.3541666666666665,1.7897222222222222,2.038611111111111,3.3216666666666668,3.2527777777777778,2.5719444444444446,3.2375,2.361666666666667,3.1069444444444443,3.285833333333333,3.881388888888889,3.711388888888889,3.4244444444444446,4.163055555555555,3.0058333333333334,2.0258333333333334,2.8658333333333332,3.8433333333333333,1.4636111111111112,2.703333333333333,3.6719444444444442,2.7669444444444444
Northumbria,5.4719444444444445,1.6169444444444445,2.57,3.044722222222222,2.8933333333333335,3.226111111111111,0.0,1.2341666666666666,1.7172222222222222,2.3866666666666667,2.618611111111111,2.754166666666667,1.426388888888889,4.676111111111111,3.632222222222222,3.937777777777778,3.2397222222222224,2.9325,3.4516666666666667,3.6125,4.0575,4.4622222222222225,4.840833333333333,4.16,4.825277777777778,4.6305555555555555,5.3758333333333335,5.395277777777777,5.6658333333333335,5.821111111111111,5.3775,6.846666666666667,5.689444444444445,4.709444444444444,5.528888888888889,6.4191666666666665,4.313611111111111,5.294444444444444,6.289166666666667,5.670555555555556
Durham,4.708888888888889,1.2208333333333334,1.8927777777777777,2.3566666666666665,2.1302777777777777,2.5380555555555557,1.235,0.0,0.9541666666666667,1.6236111111111111,1.8555555555555556,2.0383333333333336,0.8183333333333334,3.8963888888888887,2.8691666666666666,3.174722222222222,2.4766666666666666,2.1691666666666665,2.6886111111111113,2.8494444444444444,3.2944444444444443,3.698888888888889,4.0777777777777775,3.3969444444444443,4.062222222222222,3.8675,4.612777777777778,4.6322222222222225,4.902777777777778,5.058055555555556,4.614444444444445,6.083611111111111,4.926111111111111,3.946111111111111,4.765833333333333,5.6561111111111115,3.6255555555555556,4.5313888888888885,5.526111111111111,4.9825
North Yorkshire,3.9033333333333333,1.4127777777777777,1.3516666666666666,1.8130555555555556,1.3247222222222221,1.8344444444444445,1.721111111111111,0.9519444444444445,0.0,0.8183333333333334,1.0502777777777779,1.2483333333333333,0.6088888888888889,3.091111111111111,2.063888888888889,2.3691666666666666,1.6711111111111112,1.363888888888889,1.8830555555555555,2.043888888888889,2.4891666666666667,2.893611111111111,3.272222222222222,2.591388888888889,3.2569444444444446,3.062222222222222,3.8072222222222223,3.8266666666666667,4.0975,4.2525,3.8091666666666666,5.2780555555555555,4.120833333333334,3.140833333333333,3.9605555555555556,4.850555555555555,2.9219444444444442,3.726111111111111,4.720555555555555,4.278888888888889
West Yorkshire,3.563888888888889,2.035,1.1744444444444444,1.113611111111111,0.625,1.1347222222222222,2.3780555555555556,1.6088888888888888,0.8013888888888889,0.0,0.6597222222222222,1.0347222222222223,1.3425,2.584722222222222,1.6822222222222223,2.044722222222222,1.3711111111111112,1.1175,1.6369444444444445,1.7975,2.1644444444444444,2.647222222222222,3.026111111111111,2.345,3.0105555555555554,2.7375,3.4827777777777778,3.502222222222222,3.851111111111111,3.9280555555555554,3.5541666666666667,4.933055555555556,3.7755555555555556,2.7955555555555556,3.6358333333333333,4.526111111111111,2.2225,3.3808333333333334,4.504166666666666,3.5791666666666666
