KPI-4h-deployed-pct,KPI-1h-deployed-pct,resources-per-event,location,start
100.0,20.0,500,Dyfed-Powys,0
100.0,95.0,500,Beds Cambs Herts,0
100.0,25.0,500,Gwent,0
100.0,30.0,500,Suffolk,0
100.0,75.0,500,South Wales,0
100.0,35.0,500,Dorset,0
100.0,55.0,500,Leicestershire,0
100.0,100.0,500,W Midlands W Mercia,0
100.0,85.0,500,Hampshire,0
100.0,55.0,500,Nottinghamshire,0
100.0,35.0,500,Dorset,0
100.0,100.0,500,Thames Valley,0
100.0,55.0,500,Nottinghamshire,0
100.0,35.0,500,North Yorkshire,0
100.0,100.0,500,Lancashire,0
100.0,20.0,500,City of London,0
100.0,85.0,500,Warwickshire,0
100.0,100.0,500,Merseyside,0
100.0,70.0,500,Sussex,0
100.0,100.0,500,Greater Manchester,0
100.0,50.0,500,North Wales,0
100.0,85.0,500,Hampshire,0
100.0,95.0,500,Beds Cambs Herts,0
100.0,100.0,500,W Midlands W Mercia,0
100.0,100.0,500,West Yorkshire,0
100.0,35.0,500,North Yorkshire,0
100.0,25.0,500,Gwent,0
100.0,60.0,500,Essex,0
100.0,25.0,500,Gloucestershire,0
100.0,100.0,500,Metropolitan Police,0
100.0,75.0,500,Kent,0
100.0,100.0,500,Staffordshire,0
100.0,85.0,500,Hampshire,0
100.0,100.0,500,Devon and Cornwall,0
100.0,25.0,500,Norfolk,0
100.0,55.0,500,Leicestershire,0
100.0,100.0,500,Staffordshire,0
100.0,25.0,500,Gloucestershire,0
100.0,30.0,500,Suffolk,0
100.0,20.0,500,Dyfed-Powys,0
100.0,100.0,500,Wiltshire,4
100.0,100.0,500,W Midlands W Mercia,4
100.0,100.0,500,Humberside,4
100.0,100.0,500,Kent,4
100.0,100.0,500,Hampshire,4
100.0,100.0,500,Suffolk,4
100.0,100.0,500,West Yorkshire,4
100.0,100.0,500,Staffordshire,4
100.0,100.0,500,Derbyshire,4
100.0,100.0,500,Avon and Somerset,4
100.0,100.0,500,Lincolnshire,4
100.0,100.0,500,Sussex,4
100.0,100.0,500,North Yorkshire,4
100.0,100.0,500,Lincolnshire,4
100.0,100.0,500,Hampshire,4
100.0,100.0,500,Merseyside,4
100.0,100.0,500,Lancashire,4
100.0,100.0,500,North Yorkshire,4
100.0,100.0,500,Thames Valley,4
100.0,100.0,500,Cleveland,4
100.0,100.0,500,Lancashire,4
100.0,100.0,500,Gwent,4
100.0,100.0,500,Durham,4
100.0,100.0,500,Greater Manchester,4
100.0,100.0,500,Warwickshire,4
100.0,100.0,500,Metropolitan Police,4
100.0,100.0,500,Essex,4
100.0,100.0,500,South Yorkshire,4
100.0,100.0,500,Thames Valley,4
100.0,100.0,500,Lancashire,4
100.0,100.0,500,Beds Cambs Herts,4
100.0,100.0,500,W Midlands W Mercia,4
100.0,100.0,500,Cumbria,4
100.0,100.0,500,South Yorkshire,4
100.0,100.0,500,Thames Valley,4
100.0,100.0,500,Kent,4
100.0,100.0,500,Norfolk,4
100.0,100.0,500,Dyfed-Powys,4
100.0,100.0,500,Devon and Cornwall,4
100.0,100.0,500,Nottinghamshire,4
100.0,100.0,500,Dorset,8
100.0,100.0,500,North Yorkshire,8
100.0,100.0,500,North Wales,8
100.0,100.0,500,Devon and Cornwall,8
100.0,100.0,500,Dorset,8
100.0,100.0,500,Suffolk,8
100.0,100.0,500,North Yorkshire,8
100.0,100.0,500,Northumbria,8
100.0,100.0,500,Humberside,8
100.0,100.0,500,Lincolnshire,8
100.0,100.0,500,Surrey,8
100.0,100.0,500,Staffordshire,8
100.0,100.0,500,South Yorkshire,8
100.0,100.0,500,North Wales,8
100.0,100.0,500,Northamptonshire,8
100.0,100.0,500,Derbyshire,8
100.0,100.0,500,Dorset,8
100.0,100.0,500,North Wales,8
100.0,100.0,500,Lancashire,8
100.0,100.0,500,Devon and Cornwall,8
100.0,100.0,500,Devon and Cornwall,8
100.0,100.0,500,North Wales,8
100.0,100.0,500,Gloucestershire,8
100.0,100.0,500,Surrey,8
100.0,100.0,500,Greater Manchester,8
100.0,100.0,500,Durham,8
100.0,100.0,500,Beds Cambs Herts,8
100.0,100.0,500,South Yorkshire,8
100.0,100.0,500,Cheshire,8
100.0,100.0,500,Humberside,8
100.0,100.0,500,Avon and Somerset,8
100.0,100.0,500,Gwent,8
100.0,100.0,500,Cleveland,8
100.0,100.0,500,Suffolk,8
100.0,100.0,500,Cumbria,8
100.0,100.0,500,Nottinghamshire,8
100.0,100.0,500,Cheshire,8
100.0,100.0,500,Nottinghamshire,8
100.0,100.0,500,Humberside,8
100.0,100.0,500,Cheshire,8
100.0,31.25,2000,Thames Valley,0
100.0,6.25,2000,Gloucestershire,0
100.0,6.25,2000,Northamptonshire,0
100.0,5.0,2000,City of London,0
100.0,45.0,2000,Merseyside,0
100.0,28.75,2000,Lancashire,0
100.0,17.5,2000,Sussex,0
100.0,6.25,2000,Cumbria,0
100.0,27.5,2000,South Yorkshire,0
100.0,8.75,2000,North Yorkshire,0
100.0,5.0,2000,City of London,0
100.0,75.0,2000,West Yorkshire,0
100.0,13.75,2000,Leicestershire,0
100.0,23.75,2000,Beds Cambs Herts,0
30.0,5.0,2000,Dyfed-Powys,0
100.0,27.5,2000,South Yorkshire,0
100.0,100.0,2000,Metropolitan Police,0
100.0,12.5,2000,North Wales,0
100.0,75.0,2000,West Yorkshire,0
100.0,75.0,2000,West Yorkshire,0
71.25,25.0,2000,Devon and Cornwall,0
100.0,10.0,2000,Humberside,0
100.0,12.5,2000,North Wales,0
100.0,21.25,2000,Hampshire,0
30.0,18.75,2000,South Wales,0
100.0,13.75,2000,Leicestershire,0
100.0,11.25,2000,Cheshire,0
71.25,25.0,2000,Devon and Cornwall,0
100.0,5.0,2000,City of London,0
